n_layer1;n_kernel1;n_layer2;n_kernel2;n_pool1;dropout_1;dropout_2;dense1;dense2;act;optim;n_batch;best_val_acc
26;(4, 4);50;(4, 4);(3, 3);0.11519331580529707;0.34582472182534624;130;80;relu;rmsprop;8;0.7408000230789185
38;(4, 4);62;(4, 4);(3, 3);0.20022715092420929;0.3819041294884102;180;60;relu;rmsprop;32;0.7333999872207642
20;(4, 4);64;(4, 4);(3, 3);0.14360809845318612;0.30242940999539103;160;60;leakyrelu;sgd;24;0.7077999711036682
38;(3, 3);54;(4, 4);(3, 3);0.1328177652782525;0.4753929019917458;180;60;relu;rmsprop;16;0.6776000261306763
32;(4, 4);62;(4, 4);(2, 2);0.2093334790247099;0.4280176850591335;100;100;relu;rmsprop;32;0.6783000230789185
38;(5, 5);62;(4, 4);(3, 3);0.22702043024792176;0.48243553917694004;180;80;relu;rmsprop;24;0.70660001039505
14;(4, 4);58;(3, 3);(3, 3);0.16879252137714287;0.39456469951148254;130;60;relu;rmsprop;32;0.7132999897003174
38;(4, 4);50;(4, 4);(3, 3);0.1556387043147031;0.3210288522593527;160;60;leakyrelu;sgd;8;0.666100025177002
8;(4, 4);62;(3, 3);(3, 3);0.2155153245910602;0.37044154936384593;180;60;relu;rmsprop;32;0.6934000253677368
26;(4, 4);64;(3, 3);(2, 2);0.10697620491296238;0.4636289943626317;180;60;relu;rmsprop;24;0.7386999726295471
38;(3, 3);62;(3, 3);(3, 3);0.29740552383374796;0.4961251456393269;100;100;relu;rmsprop;16;0.7105000019073486
20;(5, 5);54;(4, 4);(3, 3);0.12152627083245834;0.3417368042680317;180;80;relu;rmsprop;32;0.6873000264167786
38;(4, 4);62;(3, 3);(3, 3);0.20500370546180352;0.4534861890184054;130;60;leakyrelu;sgd;24;0.6503999829292297
38;(4, 4);68;(3, 3);(3, 3);0.1494099208029559;0.41483028267039;200;60;relu;rmsprop;32;0.6539999842643738
38;(4, 4);68;(3, 3);(3, 3);0.12931537914879357;0.42487278504311576;200;60;relu;rmsprop;32;0.7580999732017517
38;(4, 4);68;(3, 3);(3, 3);0.14214189755500284;0.4699123764244658;200;60;relu;rmsprop;32;0.7167999744415283
38;(4, 4);68;(3, 3);(3, 3);0.159294005805404;0.4412891064070795;200;60;relu;rmsprop;32;0.7193999886512756
38;(4, 4);68;(3, 3);(3, 3);0.1357513875747508;0.43187640448940845;200;60;relu;rmsprop;32;0.7473000288009644
38;(4, 4);68;(3, 3);(3, 3);0.12704283568089586;0.3990596658345873;200;60;relu;rmsprop;32;0.7612000107765198
